PassengerId,Survived,Passenger_Class,Sex,Age,Siblings_Spouses,Parents_Children,Fare,Cabin,Embarked
1,0,3,male,22.0,1,0,7.25,Not Assigned,S
2,1,1,female,38.0,1,0,71.2833,C85,C
3,1,3,female,26.0,0,0,7.925,Not Assigned,S
4,1,1,female,35.0,1,0,53.1,C123,S
5,0,3,male,35.0,0,0,8.05,Not Assigned,S
6,0,3,male,28.0,0,0,8.4583,Not Assigned,Q
7,0,1,male,54.0,0,0,51.8625,E46,S
8,1,3,female,27.0,0,2,11.1333,Not Assigned,S
9,1,2,female,14.0,1,0,30.0708,Not Assigned,C
10,1,3,female,4.0,1,1,16.7,G6,S
11,1,1,female,58.0,0,0,26.55,C103,S
12,0,3,male,20.0,0,0,8.05,Not Assigned,S
13,0,3,male,39.0,1,5,31.275,Not Assigned,S
14,0,3,female,14.0,0,0,7.8542,Not Assigned,S
15,1,2,female,55.0,0,0,16.0,Not Assigned,S
16,0,3,male,2.0,4,1,29.125,Not Assigned,Q
17,1,2,male,28.0,0,0,13.0,Not Assigned,S
18,0,3,female,31.0,1,0,18.0,Not Assigned,S
19,1,3,female,28.0,0,0,7.225,Not Assigned,C
20,0,2,male,35.0,0,0,26.0,Not Assigned,S
21,1,2,male,34.0,0,0,13.0,D56,S
22,1,3,female,15.0,0,0,8.0292,Not Assigned,Q
23,1,1,male,28.0,0,0,35.5,A6,S
24,0,3,female,8.0,3,1,21.075,Not Assigned,S
25,1,3,female,38.0,1,5,31.3875,Not Assigned,S
26,0,3,male,28.0,0,0,7.225,Not Assigned,C
27,0,1,male,19.0,3,2,263.0,C23 C25 C27,S
28,1,3,female,28.0,0,0,7.8792,Not Assigned,Q
29,0,3,male,28.0,0,0,7.8958,Not Assigned,S
30,0,1,male,40.0,0,0,27.7208,Not Assigned,C
31,1,1,female,28.0,1,0,146.5208,B78,C
32,1,3,female,28.0,0,0,7.75,Not Assigned,Q
33,0,2,male,66.0,0,0,10.5,Not Assigned,S
34,0,1,male,28.0,1,0,82.1708,Not Assigned,C
35,0,1,male,42.0,1,0,52.0,Not Assigned,S
36,1,3,male,28.0,0,0,7.2292,Not Assigned,C
37,0,3,male,21.0,0,0,8.05,Not Assigned,S
38,0,3,female,18.0,2,0,18.0,Not Assigned,S
39,1,3,female,14.0,1,0,11.2417,Not Assigned,C
40,0,3,female,40.0,1,0,9.475,Not Assigned,S
41,0,2,female,27.0,1,0,21.0,Not Assigned,S
42,0,3,male,28.0,0,0,7.8958,Not Assigned,C
43,1,2,female,3.0,1,2,41.5792,Not Assigned,C
44,1,3,female,19.0,0,0,7.8792,Not Assigned,Q
45,0,3,male,28.0,0,0,8.05,Not Assigned,S
46,0,3,male,28.0,1,0,15.5,Not Assigned,Q
47,1,3,female,28.0,0,0,7.75,Not Assigned,Q
48,0,3,male,28.0,2,0,21.6792,Not Assigned,C
49,0,3,female,18.0,1,0,17.8,Not Assigned,S
50,0,3,male,7.0,4,1,39.6875,Not Assigned,S
51,0,3,male,21.0,0,0,7.8,Not Assigned,S
52,1,1,female,49.0,1,0,76.7292,D33,C
53,1,2,female,29.0,1,0,26.0,Not Assigned,S
54,0,1,male,65.0,0,1,61.9792,B30,C
55,1,1,male,28.0,0,0,35.5,C52,S
56,1,2,female,21.0,0,0,10.5,Not Assigned,S
57,0,3,male,28.5,0,0,7.2292,Not Assigned,C
58,1,2,female,5.0,1,2,27.75,Not Assigned,S
59,0,3,male,11.0,5,2,46.9,Not Assigned,S
60,0,3,male,22.0,0,0,7.2292,Not Assigned,C
61,1,1,female,38.0,0,0,80.0,B28,S
62,0,1,male,45.0,1,0,83.475,C83,S
63,0,3,male,4.0,3,2,27.9,Not Assigned,S
64,0,1,male,28.0,0,0,27.7208,Not Assigned,C
65,1,3,male,28.0,1,1,15.2458,Not Assigned,C
66,1,2,female,29.0,0,0,10.5,F33,S
67,0,3,male,19.0,0,0,8.1583,Not Assigned,S
68,1,3,female,17.0,4,2,7.925,Not Assigned,S
69,0,3,male,26.0,2,0,8.6625,Not Assigned,S
70,0,2,male,32.0,0,0,10.5,Not Assigned,S
71,0,3,female,16.0,5,2,46.9,Not Assigned,S
72,0,2,male,21.0,0,0,73.5,Not Assigned,S
73,0,3,male,26.0,1,0,14.4542,Not Assigned,C
74,1,3,male,32.0,0,0,56.4958,Not Assigned,S
75,0,3,male,25.0,0,0,7.65,F G73,S
76,0,3,male,28.0,0,0,7.8958,Not Assigned,S
77,0,3,male,28.0,0,0,8.05,Not Assigned,S
78,1,2,male,0.83,0,2,29.0,Not Assigned,S
79,1,3,female,30.0,0,0,12.475,Not Assigned,S
80,0,3,male,22.0,0,0,9.0,Not Assigned,S
81,1,3,male,29.0,0,0,9.5,Not Assigned,S
82,1,3,female,28.0,0,0,7.7875,Not Assigned,Q
83,0,1,male,28.0,0,0,47.1,Not Assigned,S
84,1,2,female,17.0,0,0,10.5,Not Assigned,S
85,1,3,female,33.0,3,0,15.85,Not Assigned,S
86,0,3,male,16.0,1,3,34.375,Not Assigned,S
87,0,3,male,28.0,0,0,8.05,Not Assigned,S
88,1,1,female,23.0,3,2,263.0,C23 C25 C27,S
89,0,3,male,24.0,0,0,8.05,Not Assigned,S
90,0,3,male,29.0,0,0,8.05,Not Assigned,S
91,0,3,male,20.0,0,0,7.8542,Not Assigned,S
92,0,1,male,46.0,1,0,61.175,E31,S
93,0,3,male,26.0,1,2,20.575,Not Assigned,S
94,0,3,male,59.0,0,0,7.25,Not Assigned,S
95,0,3,male,28.0,0,0,8.05,Not Assigned,S
96,0,1,male,71.0,0,0,34.6542,A5,C
97,1,1,male,23.0,0,1,63.3583,D10 D12,C
98,1,2,female,34.0,0,1,23.0,Not Assigned,S
99,0,2,male,34.0,1,0,26.0,Not Assigned,S
100,0,3,female,28.0,0,0,7.8958,Not Assigned,S
101,0,3,male,28.0,0,0,7.8958,Not Assigned,S
102,0,1,male,21.0,0,1,77.2875,D26,S
103,0,3,male,33.0,0,0,8.6542,Not Assigned,S
104,0,3,male,37.0,2,0,7.925,Not Assigned,S
105,0,3,male,28.0,0,0,7.8958,Not Assigned,S
106,1,3,female,21.0,0,0,7.65,Not Assigned,S
107,1,3,male,28.0,0,0,7.775,Not Assigned,S
108,0,3,male,38.0,0,0,7.8958,Not Assigned,S
109,1,3,female,28.0,1,0,24.15,Not Assigned,Q
110,0,1,male,47.0,0,0,52.0,C110,S
111,0,3,female,14.5,1,0,14.4542,Not Assigned,C
112,0,3,male,22.0,0,0,8.05,Not Assigned,S
113,0,3,female,20.0,1,0,9.825,Not Assigned,S
114,0,3,female,17.0,0,0,14.4583,Not Assigned,C
115,0,3,male,21.0,0,0,7.925,Not Assigned,S
116,0,3,male,70.5,0,0,7.75,Not Assigned,Q
117,0,2,male,29.0,1,0,21.0,Not Assigned,S
118,0,1,male,24.0,0,1,247.5208,B58 B60,C
119,0,3,female,2.0,4,2,31.275,Not Assigned,S
120,0,2,male,21.0,2,0,73.5,Not Assigned,S
121,0,3,male,28.0,0,0,8.05,Not Assigned,S
122,0,2,male,32.5,1,0,30.0708,Not Assigned,C
123,1,2,female,32.5,0,0,13.0,E101,S
124,0,1,male,54.0,0,1,77.2875,D26,S
125,1,3,male,12.0,1,0,11.2417,Not Assigned,C
126,0,3,male,28.0,0,0,7.75,Not Assigned,Q
127,1,3,male,24.0,0,0,7.1417,Not Assigned,S
128,1,3,female,28.0,1,1,22.3583,F E69,C
129,0,3,male,45.0,0,0,6.975,Not Assigned,S
130,0,3,male,33.0,0,0,7.8958,Not Assigned,C
131,0,3,male,20.0,0,0,7.05,Not Assigned,S
132,0,3,female,47.0,1,0,14.5,Not Assigned,S
133,1,2,female,29.0,1,0,26.0,Not Assigned,S
134,0,2,male,25.0,0,0,13.0,Not Assigned,S
135,0,2,male,23.0,0,0,15.0458,Not Assigned,C
136,1,1,female,19.0,0,2,26.2833,D47,S
137,0,1,male,37.0,1,0,53.1,C123,S
138,0,3,male,16.0,0,0,9.2167,Not Assigned,S
139,0,1,male,24.0,0,0,79.2,B86,C
140,0,3,female,28.0,0,2,15.2458,Not Assigned,C
141,1,3,female,22.0,0,0,7.75,Not Assigned,S
142,1,3,female,24.0,1,0,15.85,Not Assigned,S
143,0,3,male,19.0,0,0,6.75,Not Assigned,Q
144,0,2,male,18.0,0,0,11.5,Not Assigned,S
145,0,2,male,19.0,1,1,36.75,Not Assigned,S
146,1,3,male,27.0,0,0,7.7958,Not Assigned,S
147,0,3,female,9.0,2,2,34.375,Not Assigned,S
148,0,2,male,36.5,0,2,26.0,F2,S
149,0,2,male,42.0,0,0,13.0,Not Assigned,S
150,0,2,male,51.0,0,0,12.525,Not Assigned,S
151,1,1,female,22.0,1,0,66.6,C2,S
152,0,3,male,55.5,0,0,8.05,Not Assigned,S
153,0,3,male,40.5,0,2,14.5,Not Assigned,S
154,0,3,male,28.0,0,0,7.3125,Not Assigned,S
155,0,1,male,51.0,0,1,61.3792,Not Assigned,C
